success,failure,stuck,success_percent,failure_percent
1,0,0,1.0,0.0
1,0,1,0.5,0.5
1,0,2,0.3333,0.6667
1,0,3,0.25,0.75
2,0,3,0.4,0.6
2,1,3,0.3333,0.6667
2,1,4,0.2857,0.7143
3,1,4,0.375,0.625
3,1,5,0.3333,0.6667
4,1,5,0.4,0.6
5,1,5,0.4545,0.5455
5,2,5,0.4167,0.5833
5,3,5,0.3846,0.6154
5,3,6,0.3571,0.6429
5,3,7,0.3333,0.6667
5,3,8,0.3125,0.6875
5,4,8,0.2941,0.7059
5,4,9,0.2778,0.7222
6,4,9,0.3158,0.6842
7,4,9,0.35,0.65
7,4,10,0.3333,0.6667
8,4,10,0.3636,0.6364
9,4,10,0.3913,0.6087
10,4,10,0.4167,0.5833
11,4,10,0.44,0.56
12,4,10,0.4615,0.5385
12,4,11,0.4444,0.5556
13,4,11,0.4643,0.5357
13,4,12,0.4483,0.5517
13,4,13,0.4333,0.5667
13,4,14,0.4194,0.5806
14,4,14,0.4375,0.5625
14,4,15,0.4242,0.5758
15,4,15,0.4412,0.5588
16,4,15,0.4571,0.5429
16,4,16,0.4444,0.5556
16,4,17,0.4324,0.5676
16,4,18,0.4211,0.5789
16,4,19,0.4103,0.5897
16,4,20,0.4,0.6
16,4,21,0.3902,0.6098
16,4,22,0.381,0.619
16,5,22,0.3721,0.6279
17,5,22,0.3864,0.6136
18,5,22,0.4,0.6
18,6,22,0.3913,0.6087
18,7,22,0.383,0.617
18,8,22,0.375,0.625
19,8,22,0.3878,0.6122
19,8,23,0.38,0.62
19,8,24,0.3725,0.6275
19,8,25,0.3654,0.6346
19,9,25,0.3585,0.6415
19,10,25,0.3519,0.6481
19,11,25,0.3455,0.6545
19,11,26,0.3393,0.6607
19,11,27,0.3333,0.6667
19,12,27,0.3276,0.6724
19,13,27,0.322,0.678
19,14,27,0.3167,0.6833
20,14,27,0.3279,0.6721
20,15,27,0.3226,0.6774
20,15,28,0.3175,0.6825
20,16,28,0.3125,0.6875
21,16,28,0.3231,0.6769
21,17,28,0.3182,0.6818
21,17,29,0.3134,0.6866
22,17,29,0.3235,0.6765
22,18,29,0.3188,0.6812
23,18,29,0.3286,0.6714
24,18,29,0.338,0.662
24,18,30,0.3333,0.6667
24,18,31,0.3288,0.6712
24,18,32,0.3243,0.6757
24,18,33,0.32,0.68
24,19,33,0.3158,0.6842
24,20,33,0.3117,0.6883
24,21,33,0.3077,0.6923
24,21,34,0.3038,0.6962
24,22,34,0.3,0.7
24,23,34,0.2963,0.7037
25,23,34,0.3049,0.6951
25,23,35,0.3012,0.6988
25,24,35,0.2976,0.7024
25,25,35,0.2941,0.7059
26,25,35,0.3023,0.6977
26,26,35,0.2989,0.7011
26,26,36,0.2955,0.7045
26,27,36,0.2921,0.7079
26,28,36,0.2889,0.7111
