success,failure,stuck,success_percent,failure_percent,stuck_percent
0,0,1,0.0,0.0,1.0
0,0,2,0.0,0.0,1.0
0,0,3,0.0,0.0,1.0
0,0,4,0.0,0.0,1.0
0,0,5,0.0,0.0,1.0
1,0,5,0.1667,0.0,0.8333
1,1,4,0.1667,0.1667,0.6667
1,2,3,0.1667,0.3333,0.5
2,2,2,0.3333,0.3333,0.3333
3,2,1,0.5,0.3333,0.1667
4,2,0,0.6667,0.3333,0.0
4,2,1,0.5714,0.2857,0.1429
4,2,2,0.5,0.25,0.25
4,2,3,0.4444,0.2222,0.3333
5,2,2,0.5556,0.2222,0.2222
6,2,1,0.6667,0.2222,0.1111
7,2,0,0.7778,0.2222,0.0
7,2,1,0.7,0.2,0.1
7,2,2,0.6364,0.1818,0.1818
7,2,3,0.5833,0.1667,0.25
7,2,4,0.5385,0.1538,0.3077
7,2,5,0.5,0.1429,0.3571
8,2,4,0.5714,0.1429,0.2857
8,3,3,0.5714,0.2143,0.2143
8,3,4,0.5333,0.2,0.2667
8,3,5,0.5,0.1875,0.3125
9,3,4,0.5625,0.1875,0.25
10,3,4,0.5882,0.1765,0.2353
11,3,3,0.6471,0.1765,0.1765
12,3,2,0.7059,0.1765,0.1176
13,3,1,0.7647,0.1765,0.0588
14,3,0,0.8235,0.1765,0.0
14,3,1,0.7778,0.1667,0.0556
14,3,2,0.7368,0.1579,0.1053
14,3,3,0.7,0.15,0.15
15,3,2,0.75,0.15,0.1
16,3,1,0.8,0.15,0.05
17,3,0,0.85,0.15,0.0
17,3,1,0.8095,0.1429,0.0476
18,3,0,0.8571,0.1429,0.0
18,3,1,0.8182,0.1364,0.0455
19,3,0,0.8636,0.1364,0.0
19,3,1,0.8261,0.1304,0.0435
20,3,1,0.8333,0.125,0.0417
20,3,2,0.8,0.12,0.08
20,3,3,0.7692,0.1154,0.1154
21,3,3,0.7778,0.1111,0.1111
22,3,2,0.8148,0.1111,0.0741
23,3,1,0.8519,0.1111,0.037
24,3,0,0.8889,0.1111,0.0
25,3,0,0.8929,0.1071,0.0
25,3,1,0.8621,0.1034,0.0345
25,3,2,0.8333,0.1,0.0667
25,3,3,0.8065,0.0968,0.0968
25,3,4,0.7812,0.0938,0.125
26,3,4,0.7879,0.0909,0.1212
27,3,3,0.8182,0.0909,0.0909
28,3,2,0.8485,0.0909,0.0606
28,3,3,0.8235,0.0882,0.0882
29,3,2,0.8529,0.0882,0.0588
29,4,1,0.8529,0.1176,0.0294
